trackID,genre
0,pop
1,classic pop and rock
2,folk
3,jazz and blues
4,classic pop and rock
5,metal
6,classic pop and rock
7,metal
8,punk
9,pop
10,classic pop and rock
11,soul and reggae
12,pop
13,folk
14,folk
15,classic pop and rock
16,metal
17,soul and reggae
18,folk
19,jazz and blues
20,punk
21,punk
22,folk
23,pop
24,metal
25,metal
26,pop
27,classic pop and rock
28,punk
29,punk
30,metal
31,dance and electronica
32,dance and electronica
33,folk
34,punk
35,classic pop and rock
36,jazz and blues
37,classic pop and rock
38,soul and reggae
39,metal
40,classic pop and rock
41,pop
42,soul and reggae
43,classic pop and rock
44,classic pop and rock
45,soul and reggae
46,jazz and blues
47,pop
48,classic pop and rock
49,classic pop and rock
50,folk
51,classic pop and rock
53,classic pop and rock
54,pop
55,jazz and blues
56,folk
57,folk
58,soul and reggae
59,metal
60,jazz and blues
61,pop
62,folk
63,soul and reggae
64,folk
65,punk
66,classic pop and rock
67,classic pop and rock
68,soul and reggae
69,pop
70,soul and reggae
71,classic pop and rock
72,metal
73,dance and electronica
74,pop
75,punk
76,punk
77,folk
78,pop
79,folk
80,classic pop and rock
81,metal
83,folk
84,punk
85,metal
86,soul and reggae
87,dance and electronica
89,pop
90,pop
91,classic pop and rock
92,classic pop and rock
93,classic pop and rock
94,dance and electronica
95,metal
96,jazz and blues
97,pop
98,pop
99,pop
100,jazz and blues
101,classic pop and rock
102,jazz and blues
103,soul and reggae
104,soul and reggae
105,classic pop and rock
107,soul and reggae
108,folk
109,folk
110,dance and electronica
111,soul and reggae
112,folk
114,metal
115,folk
116,soul and reggae
117,classic pop and rock
118,metal
119,dance and electronica
120,jazz and blues
121,pop
122,metal
123,folk
124,classic pop and rock
125,punk
126,soul and reggae
128,classic pop and rock
129,dance and electronica
130,metal
131,folk
132,soul and reggae
133,folk
134,folk
135,jazz and blues
136,pop
137,metal
138,metal
139,soul and reggae
140,folk
141,pop
142,pop
143,classic pop and rock
144,punk
145,soul and reggae
147,soul and reggae
148,metal
149,classic pop and rock
150,soul and reggae
151,jazz and blues
153,punk
154,soul and reggae
155,jazz and blues
156,pop
157,punk
158,pop
159,metal
160,metal
161,classic pop and rock
162,metal
164,metal
165,pop
166,metal
167,punk
168,folk
169,classic pop and rock
170,soul and reggae
171,folk
172,metal
173,dance and electronica
174,folk
175,classic pop and rock
176,classic pop and rock
177,folk
178,folk
179,pop
180,punk
181,metal
182,folk
183,classic pop and rock
184,soul and reggae
185,classic pop and rock
187,dance and electronica
188,punk
189,punk
190,soul and reggae
191,metal
192,folk
193,dance and electronica
194,folk
195,folk
196,metal
197,classic pop and rock
198,metal
199,dance and electronica
200,pop
201,metal
202,folk
203,soul and reggae
204,folk
205,classic pop and rock
206,jazz and blues
207,classic pop and rock
208,classic pop and rock
209,metal
210,punk
211,pop
212,soul and reggae
213,classic pop and rock
214,metal
215,soul and reggae
216,soul and reggae
217,punk
218,classic pop and rock
219,punk
220,soul and reggae
221,classic pop and rock
222,soul and reggae
223,punk
224,metal
225,punk
226,folk
227,classic pop and rock
228,soul and reggae
229,jazz and blues
230,metal
231,folk
232,metal
233,metal
234,metal
236,folk
238,punk
239,metal
240,soul and reggae
241,punk
242,soul and reggae
243,folk
244,punk
245,pop
246,jazz and blues
247,metal
248,metal
249,classic pop and rock
250,metal
252,folk
253,pop
254,metal
255,jazz and blues
256,folk
257,dance and electronica
258,soul and reggae
259,metal
260,classic pop and rock
261,classic pop and rock
262,folk
263,punk
264,classic pop and rock
265,metal
266,folk
267,dance and electronica
268,classic pop and rock
269,classic pop and rock
270,folk
271,punk
272,folk
273,punk
274,punk
275,metal
276,folk
277,metal
278,folk
279,metal
280,folk
281,folk
282,classic pop and rock
283,punk
284,punk
285,classic pop and rock
286,classic pop and rock
287,folk
288,classic pop and rock
289,metal
290,punk
291,folk
292,classic pop and rock
293,metal
294,folk
295,soul and reggae
296,punk
297,dance and electronica
298,dance and electronica
299,metal
300,folk
301,folk
302,classic pop and rock
303,dance and electronica
304,punk
305,metal
306,pop
307,soul and reggae
308,classic pop and rock
309,jazz and blues
310,metal
312,pop
313,metal
314,punk
315,folk
316,dance and electronica
317,punk
318,soul and reggae
319,pop
322,folk
323,classic pop and rock
324,pop
325,classic pop and rock
326,pop
327,folk
328,dance and electronica
330,folk
331,metal
332,folk
333,punk
334,punk
335,soul and reggae
336,folk
337,dance and electronica
338,jazz and blues
339,metal
340,soul and reggae
341,soul and reggae
342,punk
343,folk
344,folk
345,punk
346,folk
347,pop
348,punk
349,folk
350,classic pop and rock
351,dance and electronica
352,soul and reggae
353,metal
354,classic pop and rock
355,soul and reggae
356,pop
357,folk
358,folk
359,folk
360,classic pop and rock
361,classic pop and rock
362,folk
363,folk
364,pop
365,metal
366,folk
367,soul and reggae
368,folk
369,punk
370,folk
371,pop
372,punk
373,punk
374,metal
375,classic pop and rock
376,classic pop and rock
377,soul and reggae
378,jazz and blues
379,folk
380,metal
381,metal
382,punk
383,soul and reggae
384,pop
385,folk
386,punk
387,soul and reggae
388,pop
389,metal
390,folk
391,folk
392,punk
393,punk
394,classic pop and rock
395,folk
396,folk
397,pop
398,metal
399,metal
400,folk
401,metal
402,metal
403,classic pop and rock
404,metal
405,folk
406,punk
407,soul and reggae
408,folk
409,folk
410,classic pop and rock
411,metal
412,metal
413,folk
414,metal
415,classic pop and rock
416,metal
417,folk
418,folk
419,punk
420,punk
421,punk
422,folk
423,metal
424,pop
425,classic pop and rock
426,classic pop and rock
428,classic pop and rock
429,folk
430,metal
431,classic pop and rock
432,folk
433,dance and electronica
434,metal
435,soul and reggae
436,dance and electronica
437,pop
438,folk
439,folk
440,classic pop and rock
441,folk
442,pop
444,folk
445,punk
446,folk
447,folk
448,soul and reggae
449,soul and reggae
451,pop
452,dance and electronica
453,soul and reggae
454,classic pop and rock
456,soul and reggae
457,classic pop and rock
458,folk
459,punk
460,classic pop and rock
461,pop
463,folk
464,soul and reggae
465,jazz and blues
466,folk
467,pop
468,folk
469,folk
470,folk
471,metal
472,classic pop and rock
473,folk
474,pop
475,folk
476,classic pop and rock
477,classic pop and rock
478,classic pop and rock
479,folk
480,pop
481,classic pop and rock
482,punk
483,pop
484,pop
485,classic pop and rock
486,punk
487,punk
488,punk
489,soul and reggae
490,pop
491,punk
492,classic pop and rock
494,pop
495,classic pop and rock
496,folk
497,classic pop and rock
498,folk
499,soul and reggae
500,dance and electronica
501,classic pop and rock
502,punk
504,metal
505,punk
506,metal
507,pop
508,pop
509,jazz and blues
510,folk
511,classic pop and rock
512,soul and reggae
513,dance and electronica
514,dance and electronica
515,metal
516,dance and electronica
517,jazz and blues
518,soul and reggae
519,punk
520,punk
521,folk
522,soul and reggae
523,soul and reggae
524,dance and electronica
525,soul and reggae
526,jazz and blues
527,folk
528,classic pop and rock
529,folk
530,classic pop and rock
531,metal
532,folk
533,folk
534,pop
535,classic pop and rock
536,metal
537,punk
538,folk
539,classic pop and rock
540,soul and reggae
541,classic pop and rock
542,folk
543,metal
544,soul and reggae
545,pop
546,folk
547,pop
548,folk
549,classic pop and rock
550,metal
551,metal
552,classic pop and rock
553,folk
554,classic pop and rock
555,jazz and blues
556,punk
557,classic pop and rock
558,soul and reggae
559,soul and reggae
560,soul and reggae
561,metal
562,metal
563,soul and reggae
564,classic pop and rock
565,dance and electronica
566,folk
567,folk
568,classic pop and rock
569,folk
571,folk
572,punk
573,classic pop and rock
575,metal
576,folk
577,pop
578,classic pop and rock
580,folk
581,classic pop and rock
582,punk
583,punk
584,folk
585,soul and reggae
586,classic pop and rock
587,pop
588,metal
589,folk
590,classic pop and rock
591,jazz and blues
592,soul and reggae
593,soul and reggae
594,metal
595,folk
596,classic pop and rock
597,punk
598,soul and reggae
599,folk
600,metal
601,metal
602,soul and reggae
603,metal
604,soul and reggae
605,metal
606,folk
607,pop
608,folk
609,classic pop and rock
610,metal
612,pop
613,dance and electronica
614,soul and reggae
615,classic pop and rock
616,folk
617,pop
618,punk
619,classic pop and rock
620,dance and electronica
621,classic pop and rock
622,metal
623,classic pop and rock
624,pop
625,metal
626,soul and reggae
627,pop
628,metal
629,folk
630,classic pop and rock
631,soul and reggae
632,classic pop and rock
633,punk
635,soul and reggae
636,folk
637,punk
638,jazz and blues
639,punk
640,folk
641,punk
642,classic pop and rock
643,classic pop and rock
644,soul and reggae
645,classic pop and rock
646,folk
647,pop
648,pop
649,folk
650,classic pop and rock
651,soul and reggae
652,classic pop and rock
653,dance and electronica
654,soul and reggae
655,pop
656,classic pop and rock
657,classic pop and rock
658,jazz and blues
659,pop
660,classic pop and rock
